id,name,industry,source,lead_status,notes,ma_status,international,locations,company_type,description,product_line,state,city,revenue,website,employees,franchise,top_franchise,demography,ticket,activities,membership,geo_focus,indoor_outdoor,col_25
187,Twinkle Playspace,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Twinkle Playspace is a custom-designed 4,500 square foot playspace featuring interactive structures such as a stardust tree fort, a firehouse, a construction play area, and a beauty parlor. The facility also includes an art studio and a café, providing a creative and engaging environment for children to explore and play.","nteractive play structures, themed play areas, art studio, café",New York,Brooklyn,<$5,https://www.twinkleplayspace.com/,<25,1,-,Kids 6 & below,20,"nteractive play structures, themed play areas, art studio, café",,New York,-,
188,Under the Sea Playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"At Under the Sea Playground, we strive to provide a safe and fun environment for your children. This begins with our unique playstructure, one of them  with 2 levels, obsticles, musical instruments, slides, etc.. and the second structure is 3 levels with ball pit, obsticles, slides, etc.. We also have other equipments that will keep children active and having fun. You can easily keep an eye on Your children from any seating area, and can also enjoy a variety of coffee, espresso, and lattes while you're waiting for your children. Our cafe also offers uniquely flavored pizza, delicious sandwiches, and fresh salads for those seeking healthier options",Part Packages,Michigan,Troy,<$5,"Under The Sea Indoor Playground | Troy, MI",<25,1,-,-,starts from $299 for 2 hrs,Part Packages,,Michigan,-,
189,United skates of America,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,12,Private Company,"United Skates of America is a family fun center located in Rumford, Rhode Island. It offers a variety of activities for all ages such as Roller skating , laser tag , Rock climbing","Roller skating , laser tag , Rock climbing",Rhode Island,Rumford,25.9 million,https://unitedskates.com/,0,12,0,0,0,"Roller skating , rock climbing , laser tag",,Rhode Island,Indoor/ Outdoor,
190,Wahooz Family Fun zone,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Located in Meridian, this facility includes arcade games, laser tag, bumper cars, and a soft play area for younger children","Arcade games , laser tags , bumper cars",Idaho,Meridian,<$5 million,https://www.wahoozfunzone.com/,14,1,0,Junior & Adult,<20$,"Arcade games , laser tags , bumper cars",,Idaho,Indoor,
191,Weevil Play,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Provides sensory-safe play and  physically engaging activities, focusing on early development, balance, motor skills, coordination, and socialization","Bounce Houses, Obstacle Courses, Wet / Dry Slides, Foam Parties",Alabama,Enterprise,-,https://www.weevilplay.com/,-,1,-,Upto 12 years,$9.95 - $11.95 per hour,"Slides, Glass Floor Tunnels, Obstacle Courses, Sensory Rooms",,Alabama,Indoor/ Outdoor,
192,Whispers Napper's play gym,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"They offer extraordinary programs at our indoor play gym that help children develop confidence and self esteem through unique and innovative activities. The goal is to offer a clean and safe environment for children to explore through music, creative movement, fitness, games and arts & crafts.","Fitness , games , creative movement , arts and crafts",Connecticut,Cheshire,<$5 million,https://whippersnappersplaygym.com/,<25 employees,1,0,1 years - 8 years,125,"Fitness , games , creative movement , arts and crafts",,Connecticut,Indoor,
193,Wild Child Gym,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,Wild Child Gym is a play and retail space encompassing California style with a distinct Hawaiian vibe,"Birthday Parties, Private Parties",California,"Culver City, Playa Vista",<$5,https://www.wildchildgym.com/,-,2,-,3 months- 7 years,-,"Birthday Parties, Private Parties",,California,-,
194,Wings Center,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Wings Center is passionate about partnering with families to support the physical, social and emotional growth of children!","Party events , toddler games , Gymnastics",Idaho,Boise,$17.4 million,https://www.wingscenter.com/,57,1,0,1- 12 years,$4 - $145,"Party events , toddler games , Gymnastics",,Idaho,Indoor,
195,Wisco Kidz place,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Wisco Kidz Place is an Indoor Playground on Madison’s East side, off of East Springs (near Home Depot and Red Robin). We have a modest 3500 sq. ft facility which includes Multiple Interactive Projection games, Slides, Party Rooms, a Mega Building Block Land play area, and a 500 sq. ft multi-story playground including a dedicated toddler zone.","Rock climbing , slides , party rooms , Block land play area",Wisconsin,Madisons,0,https://wiscokidzplace.com/,0,1,0,0,0,"Rock climbing , slides , party rooms , Block land play area",,Wisconsin,Indoor,
196,Xplore Family Fun Center,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Xplore is a state-of-the-art family entertainment center focused on providing children ages 1 through 12 a clean, safe, and fun place to play. The facility features a variety of attractions including an indoor playground, climbing structures, arcade games, and a laser maze. It is a great place for kids to release energy and engage in imaginative play.","Indoor playground, climbing structures, arcade games, laser maze.",New York,Port Jefferson Station,,https://www.xplorepj.com/,11 to 50,1,-,1 - 20 Years,$16 to $25,"Indoor playground, climbing structures, arcade games, laser maze.",,New York,-,
197,Yoyo's Fun Center,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Yoyo's Fun Center is your ultimate destination for family fun and entertainment! Enjoy a variety of exciting activities, including arcade games, laser tag, mini-golf, and more. Perfect for birthday parties, group events, or a fun day out with friends and family. Come and create unforgettable memories at Yoyo's Fun Center!

Yoyo's Fun Center is your ultimate destination for family fun and entertainment! Enjoy a variety of exciting activities, including arcade games, laser tag, mini-golf, and more. Perfect for birthday parties, group events, or a fun day out with friends and family. Come and create unforgettable memories at Yoyo's Fun Center","Indoor playgrounds, trampolines, and various activities.",Michigan,Westland,<$5,Yoyo's Fun Center,<25,1,-,6 months and Up,$15 for 2 hours of play,"Indoor playgrounds, trampolines, and various activities.",,Michigan,-,
198,Zava Zone,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,"ZavaZone is an exciting indoor adventure park located in Sterling, Virginia. It offers a variety of high-energy activities designed for children and families","Trampoline , Ninja Course , Zip lines , Climbing challenges",Virginia,Sterling,$8.5 million,https://www.zavazone.com/,51 - 200,2,0,<2 YEARS,0,"Trampoline , Ninja Course , Zip lines , Climbing challenges",,Virginia,Indoor,
199,Zoofari Kidz Indoor Play,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Zoofari Kidz Indoor Play is a jungle-themed indoor playground designed for children up to 11 years old. The facility features a variety of play areas, including slides and ball pits, to encourage imaginative play and physical activity. It is a great place for kids to explore and have fun in a safe environment.","ungle-themed play areas, slides, ball pits.",Mississippi,Laurel,<$5,Zoo Fari Kids,<25,1,-,Kids Above 1+,$34.99 per month,"ungle-themed play areas, slides, ball pits.",,Mississippi,Indoor,
200,Scramble,1. Indoor Kid/Toddler Play Zone,CS - 10/16/2025,,https://www.goscramble.com/,,,,,,,,,,,,,,,,,,,,
201,Ideacreate / Orange Wheels,1. Indoor Kid/Toddler Play Zone,PEP - 9/10/25,,https://orangewheels.com/en,,,,,,,,,,,,,,,,,,,,
202,Mama's Play,1. Indoor Kid/Toddler Play Zone,CS - 10/16/2025,,http://www.mamasplay.com/,,,,,,,,,,,,,,,,,,,,
203,Kickin It,1. Indoor Kid/Toddler Play Zone,CS - 10/16/2025,,https://www.kickinitkidsgym.com/indoorplayground,,,,,,,,,,,,,,,,,,,,
204,Head Over Heels,1. Indoor Kid/Toddler Play Zone,CS - 10/16/2025,,https://www.linkedin.com/posts/ruggedrobin_headoverheels-wilmslowwonder-familyattractionsdoneright-activity-7355615727774523392-f1rd?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAAJVsGwBl-_0tZfutkYxtAoe7L_fDtYpbkY,,,,,,,,,,,,,,,,,,,,
205,Peekaboo factory,1. Indoor Kid/Toddler Play Zone,CS - 10/16/2025,,https://www.peekaboofactory.com/livermore/,,,,,,,,,,,,,,,,,,,,
